classes,edible=e,poisonous=p,,,,,,,,,,
cap-shape,bell=b,conical=c,convex=x,flat=f,knobbed=k,sunken=s,,,,,,
cap-surface,fibrous=f,grooves=g,scaly=y,smooth=s,,,,,,,,
Cap-color,brown=n,buff=b,cinnamon=c,gray=g,green=r,pink=p,purple=u,red=e,white=w,yellow=y,,
bruises?,bruises=t,no=f,,,,,,,,,,
odor,almond=a,anise=l,creosote=c,fishy=y,foul=f,musty=m,none=n,pungent=p,spicy=s,,,
Gill-attachment,attached=a,descending=d,free=f,notched=n,,,,,,,,
Gill-spacing,close=c,crowded=w,distant=d,,,,,,,,,
Gill-size,broad=b,narrow=n,,,,,,,,,,
Gill-color,black=k,brown=n,buff=b,chocolate=h,gray=g,green=r,orange=o,pink=p,purple=u,red=e,white=w,yellow=y
stalk-shape,enlarging=e,tapering=t,,,,,,,,,,
Stalk-root,bulbous=b,club=c,cup=u,equal=e,rhizomorphs=z,rooted=r,missing=?,,,,,
Stalk-surface-above-ring,fibrous=f,scaly=y,silky=k,smooth=s,,,,,,,,
stalk-surface-below-ring,fibrous=f,scaly=y,silky=k,smooth=s,,,,,,,,
stalk-color-above-ring,brown=n,buff=b,cinnamon=c,gray=g,orange=o,pink=p,red=e,white=w,yellow=y,,,
stalk-color-below-ring,brown=n,buff=b,cinnamon=c,gray=g,orange=o,pink=p,red=e,white=w,yellow=y,,,
Veil-type,partial=p,universal=u,,,,,,,,,,
Veil-color,brown=n,orange=o,white=w,yellow=y,,,,,,,,
Ring-number,none=n,one=o,two=t,,,,,,,,,
ring-type,cobwebby=c,evanescent=e,flaring=f,large=l,none=n,pendant=p,sheathing=s,zone=z,,,,
spore-print-color,black=k,brown=n,buff=b,chocolate=h,green=r,orange=o,purple=u,white=w,yellow=y,,,
population,abundant=a,clustered=c,numerous=n,scattered=s,several=v,solitary=y,,,,,,
habitat,grasses=g,leaves=l,meadows=m,paths=p,urban=u,waste=w,woods=d,,,,,
